time,yaw_degrees
1879.01,-1.30924e-06
1879.01,-1.31073e-06
1879.02,-1.31222e-06
1879.02,-1.3152e-06
1879.02,-1.31668e-06
1879.02,-1.31817e-06
1879.02,-1.31966e-06
1879.02,-1.32115e-06
1879.02,-1.32264e-06
1879.02,-1.32412e-06
1879.02,-1.32561e-06
1879.02,-1.3271e-06
1879.03,-1.32859e-06
1879.03,-1.33008e-06
1879.03,-1.33156e-06
1879.03,-1.33305e-06
1879.03,-1.33454e-06
1879.03,-1.33603e-06
1879.03,-1.33752e-06
1879.03,-1.339e-06
1879.03,-1.34049e-06
1879.03,-1.34198e-06
1879.03,-1.34347e-06
1879.04,-1.34495e-06
1879.04,-1.34644e-06
1879.04,-1.34793e-06
1879.04,-1.34942e-06
1879.04,-1.3509e-06
1879.04,-1.35239e-06
1879.04,-1.35388e-06
1879.04,-1.35537e-06
1879.04,-1.35686e-06
1879.05,-1.35834e-06
1879.05,-1.35983e-06
1879.05,-1.36132e-06
1879.05,-1.36281e-06
1879.05,-1.36429e-06
1879.05,-1.36578e-06
1879.05,-1.36727e-06
1879.05,-1.36875e-06
1879.05,-1.37024e-06
1879.05,-1.37173e-06
1879.05,-1.37322e-06
1879.06,-1.3747e-06
1879.06,-1.37619e-06
1879.06,-1.37768e-06
1879.06,-1.37917e-06
1879.06,-1.38065e-06
1879.06,-1.38214e-06
1879.06,-1.38363e-06
1879.06,-1.38512e-06
1879.06,-1.3866e-06
1879.07,-1.38809e-06
1879.07,-1.38958e-06
1879.07,-1.39106e-06
1879.07,-1.39255e-06
1879.07,-1.39404e-06
1879.07,-1.39553e-06
1879.07,-1.39701e-06
1879.07,-1.3985e-06
1879.07,-1.39999e-06
1879.07,-1.40147e-06
1879.07,-1.40296e-06
1879.08,-1.40445e-06
1879.08,-1.40593e-06
1879.08,-1.40742e-06
1879.08,-1.40891e-06
1879.08,-1.4104e-06
1879.08,-1.41188e-06
1879.08,-1.41337e-06
1879.08,-1.41486e-06
1879.09,-1.41634e-06
1879.09,-1.41783e-06
1879.09,-1.41932e-06
1879.09,-1.4208e-06
1879.09,-1.42229e-06
1879.09,-1.42378e-06
1879.09,-1.42526e-06
1879.09,-1.42675e-06
1879.09,-1.42824e-06
1879.09,-1.42972e-06
1879.09,-1.43121e-06
1879.1,-1.4327e-06
1879.1,-1.43418e-06
1879.1,-1.43567e-06
1879.1,-1.43716e-06
1879.1,-1.43864e-06
1879.1,-1.44013e-06
1879.1,-1.44162e-06
1879.1,-1.4431e-06
1879.11,-1.44459e-06
1879.11,-1.44608e-06
1879.11,-1.44756e-06
1879.11,-1.44905e-06
1879.11,-1.45053e-06
1879.11,-1.45202e-06
1879.11,-1.45351e-06
1879.11,-1.45499e-06
1879.11,-1.45648e-06
1879.11,-1.45797e-06
1879.11,-1.45945e-06
1879.11,-1.46094e-06
1879.12,-1.46243e-06
1879.12,-1.46391e-06
1879.12,-1.4654e-06
1879.12,-1.46688e-06
1879.12,-1.46837e-06
1879.12,-1.46986e-06
1879.12,-1.47134e-06
1879.12,-1.47283e-06
1879.12,-1.47432e-06
1879.12,-1.4758e-06
1879.12,-1.47729e-06
1879.13,-1.47877e-06
1879.13,-1.48026e-06
1879.13,-1.48175e-06
1879.13,-1.48323e-06
1879.13,-1.48472e-06
1879.13,-1.4862e-06
1879.13,-1.48769e-06
1879.13,-1.48918e-06
1879.13,-1.49066e-06
1879.13,-1.49215e-06
1879.14,-1.49363e-06
1879.14,-1.49809e-06
1879.14,-1.49958e-06
1879.14,-1.50106e-06
1879.14,-1.50255e-06
1879.15,-1.50403e-06
1879.15,-1.50552e-06
1879.15,-1.50998e-06
1879.15,-1.51146e-06
1879.15,-1.51295e-06
1879.15,-1.51443e-06
1879.15,-1.51592e-06
1879.16,-1.5174e-06
1879.16,-1.53077e-06
1879.16,-1.53226e-06
1879.16,-1.53672e-06
1879.17,-1.5382e-06
1879.17,-1.53969e-06
1879.17,-1.54117e-06
